city_code,lat,lon
004310,-23.031448,-45.5612792
004380,-4.9048867,-40.0059415
004390,-19.14172,-40.6210867
004470,-20.3297293,-40.2920284
004480,-12.993279,-38.5254765
004490,-14.8741438,-40.8194984
004510,-22.5225497,-44.1040128
004600,42.1418541,24.7499297
004640,42.6978634,23.3221789
004660,43.2069025,27.9150855
004670,16.783333,94.733333
004680,21.9812746,96.082375
004690,22.1182175,95.1324747
004700,16.4908026,97.6284825
004705,19.7540045,96.1344976
004716,20.1227913,94.9423557
004730,20.7907874,97.0364294
004740,16.7751045,96.1442865
004750,-3.3638125,29.3675028
004790,52.093751,23.6851851
004800,52.4238936,31.0131698
004810,53.6834599,23.8342648
004830,53.902334,27.5618791
004840,53.9564134,30.0937175
004900,55.1930197,30.2070437
004960,5.9614117,10.1516505
004980,4.0429408,9.706203
005080,3.8689867,11.5213344
005110,43.6858146,-79.7599337
005150,51.0253267,-114.0498685
005210,53.535411,-113.507996
005230,45.457241,-75.723267
005280,43.255205,-79.868202
005310,43.401995,-80.3726576
005320,45.6055889,-73.7344173
005330,42.988576,-81.246643
005350,43.854336000000004,-79.326782
005370,43.590338,-79.645729
005390,45.4972159,-73.6103642
005430,43.91768,-78.862953
005439,45.421106,-75.690308
005440,45.4283596,-75.7106204
005460,46.8259601,-71.2352226
005530,52.131802,-106.660767
005560,43.167376,-79.241638
005580,49.1913033,-122.8491439
005610,43.653963,-79.387207
005630,49.2608724,-123.1139529
005640,43.7941544,-79.5268023
005660,42.30423,-83.029861
005670,49.884017,-97.168579
005710,4.3907153,18.5509126
005720,6.9349969,79.8538463
005810,12.1191543,15.0502758
005820,-38.1503556,-72.7415019
005940,-33.5930886,-70.5515863
005990,-33.6399148,-70.6858507
006000,-33.4377968,-70.6504451
006070,-33.0244535,-71.5517636
006080,45.5362499,126.9694447
006110,46.411433100000004,125.3285572
006120,38.427747599999996,115.3303798
006130,24.0122,105.305
006140,31.2578483,113.683285
006150,24.9248708,102.4844287
006160,30.5358685,117.1048214
006170,36.4794705,119.2129818
006180,41.1081242,122.9899705
006190,26.2496958,105.9277805
006200,36.1023552,114.33633
006220,45.6156275,122.8360811
006230,23.9051104,106.6153867
006240,41.9316387,126.4200169
006250,36.5459108,104.133956
006260,38.8579735,115.490696
006270,34.3645811,107.2332184
006280,31.4066338,121.4851577
006290,40.6549157,109.8344586
006300,31.8590183,106.754751
006310,39.1120884,116.3922323
006320,48.2401404,126.5081882
006330,21.4799081,109.1068061
006340,39.906217,116.3912757
006350,22.7068788,110.3502844
006360,22.2095,107.218
006370,41.7998062,120.7634754
006390,32.9176422,117.3825673
006410,41.297577,123.7646562
006420,27.3053132,105.2778019
006430,37.3821206,117.9647262
006450,38.0764217,116.5696393
006460,33.8579594,115.772453
006470,38.3042796,116.8511597
006480,22.9212029,110.9898501
